,bsd,date,endtime,id,name,starttime,street,town,url,zipcode,address,geocodestatus_try1,geocodestatus_try2,lat,long
425,bayern,2016-09-14,20:00,6174,BRK-Haus,16:00,Falkenstr. 9,PARTENKIRCHEN,"terminerinnerung.php?event_id=6174&&
              bsd=bayern&&
              date=2016-09-14&&
              start=16:00&&
              end=20:00&&
              name1=BRK-Haus&&
              name2=&&
              street=Falkenstr.+9&&
              plz=82467&&
              town=PARTENKIRCHEN&&
              tort=71006",82467,"Falkenstr. 9, 82467 PARTENKIRCHEN",1,0,47.4633405,11.0942208053
426,bayern,2016-09-14,20:00,6175,Mittelschule / Aula,16:00,Blaue Wand Straße,SIEGSDORF,"terminerinnerung.php?event_id=6175&&
              bsd=bayern&&
              date=2016-09-14&&
              start=16:00&&
              end=20:00&&
              name1=Mittelschule+%2F+Aula&&
              name2=&&
              street=Blaue+Wand+Stra%DFe&&
              plz=83313&&
              town=SIEGSDORF&&
              tort=72022",83313,"Blaue Wand Straße, 83313 SIEGSDORF",1,0,47.8241495,12.6474621
427,bayern,2016-09-14,20:30,6176,Mittelschule,17:00,Pestalozzistr. 8,LANGQUAID,"terminerinnerung.php?event_id=6176&&
              bsd=bayern&&
              date=2016-09-14&&
              start=17:00&&
              end=20:30&&
              name1=Mittelschule&&
              name2=&&
              street=Pestalozzistr.+8&&
              plz=84085&&
              town=LANGQUAID&&
              tort=50404",84085,"Pestalozzistr. 8, 84085 LANGQUAID",1,0,48.82588305,12.0491140653
428,bayern,2016-09-14,20:00,6177,Grund- und Mittelschule,16:00,Oberhartheimer Str. 2,PFÖRRING,"terminerinnerung.php?event_id=6177&&
              bsd=bayern&&
              date=2016-09-14&&
              start=16:00&&
              end=20:00&&
              name1=Grund-+und+Mittelschule&&
              name2=&&
              street=Oberhartheimer+Str.+2&&
              plz=85104&&
              town=PF%D6RRING&&
              tort=70623",85104,"Oberhartheimer Str. 2, 85104 PFÖRRING",1,0,48.8106504,11.678143644
429,bayern,2016-09-14,20:00,6178,BRK-Kreisverband,16:00,Rotkreuzplatz 3-4,DACHAU,"terminerinnerung.php?event_id=6178&&
              bsd=bayern&&
              date=2016-09-14&&
              start=16:00&&
              end=20:00&&
              name1=BRK-Kreisverband&&
              name2=&&
              street=Rotkreuzplatz+3-4&&
              plz=85221&&
              town=DACHAU&&
              tort=70403",85221,"Rotkreuzplatz 3-4, 85221 DACHAU",1,0,48.2561814,11.4344784
430,bayern,2016-09-14,20:00,6179,Inningen-Feuerwehrhaus,16:00,Oktavianstr. 29,AUGSBURG,"terminerinnerung.php?event_id=6179&&
              bsd=bayern&&
              date=2016-09-14&&
              start=16:00&&
              end=20:00&&
              name1=Inningen-Feuerwehrhaus&&
              name2=&&
              street=Oktavianstr.+29&&
              plz=86199&&
              town=AUGSBURG&&
              tort=60390",86199,"Oktavianstr. 29, 86199 AUGSBURG",1,0,48.30990465,10.8584967
431,bayern,2016-09-14,20:00,6180,Schule Stengelheim,17:00,Neuburger Str. 8,KÖNIGSMOOS,"terminerinnerung.php?event_id=6180&&
              bsd=bayern&&
              date=2016-09-14&&
              start=17:00&&
              end=20:00&&
              name1=Schule+Stengelheim&&
              name2=&&
              street=Neuburger+Str.+8&&
              plz=86669&&
              town=K%D6NIGSMOOS&&
              tort=71611",86669,"Neuburger Str. 8, 86669 KÖNIGSMOOS",1,0,48.6656505,11.2158127
432,bayern,2016-09-14,20:00,6181,Grund- und Hauptschule,17:00,Schulstr. 11,WEIL,"terminerinnerung.php?event_id=6181&&
              bsd=bayern&&
              date=2016-09-14&&
              start=17:00&&
              end=20:00&&
              name1=Grund-+und+Hauptschule&&
              name2=&&
              street=Schulstr.+11&&
              plz=86947&&
              town=WEIL&&
              tort=71230",86947,"Schulstr. 11, 86947 WEIL",1,0,48.1188295,10.9287057
433,bayern,2016-09-14,20:30,6182,Grund- und Mittelschule,17:00,Schulstr. 6,ALTUSRIED,"terminerinnerung.php?event_id=6182&&
              bsd=bayern&&
              date=2016-09-14&&
              start=17:00&&
              end=20:30&&
              name1=Grund-+und+Mittelschule&&
              name2=&&
              street=Schulstr.+6&&
              plz=87452&&
              town=ALTUSRIED&&
              tort=60901",87452,"Schulstr. 6, 87452 ALTUSRIED",1,0,47.8023106,10.2153023502
434,bawue,2016-09-14,19:30,9419,{},15:30,Beimerstetter Str. 14,Ulm / Jungingen,"terminerinnerung.php?event_id=9419&&
              bsd=bawue&&
              date=2016-09-14&&
              start=15:30&&
              end=19:30&&
              name1=&&
              name2=Ulmer+Alb-Halle&&
              street=Beimerstetter+Str.+14&&
              plz=89081&&
              town=Ulm+%2F+Jungingen&&
              tort=8908111",89081,"Beimerstetter Str. 14, 89081 Ulm / Jungingen",1,0,48.4443077,9.9864454
